word,translation,category
el ordenador,der Computer,"technology"
el móvil,das Handy,"technology"
el televisor,der Fernseher,"technology"
la impresora,der Drucker,"technology"
el software,die Software,"technology"
el internet,das Internet,"technology"
la aplicación,die App,"technology"
el dispositivo,das Gerät,"technology"
la red,das Netzwerk,"technology"
el navegador,der Browser,"technology"
el archivo,die Datei,"technology"
el sistema operativo,das Betriebssystem,"technology"
la base de datos,die Datenbank,"technology"
el correo electrónico,die E-Mail,"technology"
el cargador,das Ladegerät,"technology"
el teclado,die Tastatur,"technology"
el ratón,die Maus,"technology"
la pantalla,der Bildschirm,"technology"
el altavoz,der Lautsprecher,"technology"
la cámara,die Kamera,"technology"
el micrófono,das Mikrofon,"technology"
el chip,der Chip,"technology"
la memoria,der Speicher,"technology"
el código,der Code,"technology"
la programación,die Programmierung,"technology"
el algoritmo,der Algorithmus,"technology"
la inteligencia artificial,die künstliche Intelligenz,"technology"
el robot,der Roboter,"technology"
el dron,die Drohne,"technology"
el sitio web,die Webseite,"technology"
el servicio en la nube,der Cloud-Service,"technology"
la seguridad cibernética,die Cybersicherheit,"technology"
el firewall,die Firewall,"technology"
el virus,der Virus,"technology"
el malware,der Malware,"technology"
la actualización,das Update,"technology"
el hardware,das Hardware,"technology"
el sistema de gestión, das Managementsystem,"technology"
la interfaz,die Schnittstelle,"technology"
el análisis de datos,die Datenanalyse,"technology"
el comercio electrónico,der E-Commerce,"technology"
el streaming, das Streaming,"technology"
