word,translation,category
la manzana,der Apfel,"food"
el plátano,die Banane,"food"
la naranja,die Orange,"food"
el pan,das Brot,"food"
la leche,die Milch,"food"
las verduras,das Gemüse,"food"
la sopa,die Suppe,"food"
el arroz,der Reis,"food"
la carne,das Fleisch,"food"
el pollo,das Hähnchen,"food"
el pescado,der Fisch,"food"
la pasta,die Nudeln,"food"
el queso,der Käse,"food"
el yogur,der Joghurt,"food"
el helado,das Eis,"food"
la galleta,der Keks,"food"
el chocolate,die Schokolade,"food"
la mermelada,die Marmelade,"food"
el aceite,das Öl,"food"
el vinagre,der Essig,"food"
el azúcar,der Zucker,"food"
la sal,das Salz,"food"
el té,der Tee,"food"
el café,der Kaffee,"food"
la fruta,das Obst,"food"
el zumo,der Saft,"food"
el sándwich,das Sandwich,"food"
la tortilla,die Tortilla,"food"
el curry,das Curry,"food"
el pimiento,die Paprika,"food"
la cebolla,die Zwiebel,"food"
el ajo,der Knoblauch,"food"
la zanahoria,die Karotte,"food"
el pepino,die Gurke,"food"
la lechuga,der Kopfsalat,"food"
el tomate,die Tomate,"food"
el maíz,der Mais,"food"
el frijol,die Bohne,"food"
el garbanzo,der Kichererbsen,"food"
el batido,der Shake,"food"
la crema,die Sahne,"food"
el pastel,der Kuchen,"food"
la pizza,die Pizza,"food"
el kebab,der Kebab,"food"
