word,translation,category
el aeropuerto,der Flughafen,"travel"
el hotel,das Hotel,"travel"
el tren,der Zug,"travel"
el coche,das Auto,"travel"
la calle,die Straße,"travel"
el viaje,die Reise,"travel"
el pasaporte,der Pass,"travel"
el billete,das Ticket,"travel"
la estación,der Bahnhof,"travel"
el autobús,der Bus,"travel"
la maleta,der Koffer,"travel"
el mapa,die Karte,"travel"
la guía,der Reiseführer,"travel"
el destino,das Ziel,"travel"
la ruta,die Route,"travel"
el cruce,die Kreuzung,"travel"
el peaje,die Maut,"travel"
el ferry,die Fähre,"travel"
el vuelo,der Flug,"travel"
la puerta,die Tür,"travel"
el asiento,der Sitz,"travel"
la seguridad,die Sicherheit,"travel"
el retraso,die Verspätung,"travel"
el check-in,der Check-in,"travel"
la salida,der Abflug,"travel"
la llegada,die Ankunft,"travel"
el tren de alta velocidad,der Hochgeschwindigkeitszug,"travel"
el taxi,das Taxi,"travel"
el transporte,der Transport,"travel"
la conexión,die Verbindung,"travel"
el itinerario,der Reiseplan,"travel"
el alojamiento,das Unterkunft,"travel"
la excursión,der Ausflug,"travel"
el guía turístico,der Reiseleiter,"travel"
el viaje de negocios,die Geschäftsreise,"travel"
la visa, das Visum,"travel"
el seguro de viaje,die Reiseversicherung,"travel"
el mostrador,der Schalter,"travel"
el equipaje,das Gepäck,"travel"
la aduana,der Zoll,"travel"
el tren nocturno,der Nachtzug,"travel"
el viaje redondo,die Hin- und Rückreise,"travel"
