word,translation,category
la tienda,der Geschäft,"business"
el cliente,der Kunde,"business"
el vendedor,der Verkäufer,"business"
la empresa,die Firma,"business"
el mercado,der Markt,"business"
la factura,die Rechnung,"business"
el contrato,der Vertrag,"business"
el empleado,der Angestellte,"business"
el jefe,der Chef,"business"
la reunión,die Besprechung,"business"
el proyecto,das Projekt,"business"
la estrategia,die Strategie,"business"
el presupuesto,das Budget,"business"
la inversión,das Investment,"business"
el informe,der Bericht,"business"
la negociación,die Verhandlung,"business"
el servicio,der Dienst,"business"
el producto,das Produkt,"business"
el anuncio,die Anzeige,"business"
la publicidad,die Werbung,"business"
el mercado objetivo,die Zielgruppe,"business"
la competencia,die Konkurrenz,"business"
el crecimiento,das Wachstum,"business"
la venta,der Verkauf,"business"
el beneficio,der Gewinn,"business"
el costo,die Kosten,"business"
el análisis,die Analyse,"business"
la marca,die Marke,"business"
el socio,der Partner,"business"
el comercio,der Handel,"business"
la transacción,die Transaktion,"business"
el balance,die Bilanz,"business"
la auditoría,die Prüfung,"business"
el capital,das Kapital,"business"
la política,die Politik,"business"
el recurso,die Ressource,"business"
la logística,die Logistik,"business"
el riesgo, das Risiko,"business"
la propuesta,der Vorschlag,"business"
el cliente potencial,der potenzielle Kunde,"business"
la cadena de suministro,die Lieferkette,"business"
el análisis de mercado,die Marktanalyse,"business"
la fusión,die Fusion,"business"
el despido,die Entlassung,"business"
