word,translation,category
rojo,rot,"colors"
azul,blau,"colors"
verde,grün,"colors"
amarillo,gelb,"colors"
negro,schwarz,"colors"
blanco,weiß,"colors"
naranja,orange,"colors"
morado,lila,"colors"
gris,grau,"colors"
rosa,rosa,"colors"
marrón,braun,"colors"
turquesa,türkis,"colors"
beige,beige,"colors"
violeta,violett,"colors"
celeste,hellblau,"colors"
dorado,golden,"colors"
plateado,silber,"colors"
cian,cyan,"colors"
magenta,magenta,"colors"
color crema,cremefarben,"colors"
color oliva,olivgrün,"colors"
color coral,korallenrot,"colors"
color lavanda,lavendel,"colors"
color esmeralda,smaragdgrün,"colors"
color ámbar,bernsteinfarben,"colors"
