word,translation,category
der Supermarkt,el supermercado,"shopping"
das Geld,el dinero,"shopping"
die Karte (Bankkarte),la tarjeta bancaria,"shopping"
die Tasche,el bolso,"shopping"
der Tampon,el tampón,"shopping"
die Binde,la compresa,"shopping"
das Kondom,el preservativo,"shopping"
die Zahnbürste,el cepillo de dientes,"shopping"
die Hilfe,la ayuda,"shopping"
die Polizei,la policía,"shopping"
la dirección,die Richtung,"orientation"
la entrada,der Eingang,"orientation"
la salida,der Ausgang,"orientation"
la calle,die Straße,"orientation"
el camino,der Weg,"orientation"
la plaza,der Platz,"orientation"
(a) la derecha,rechts,"orientation"
(a) la izquierda,links,"orientation"
seguido,geradeaus,"orientation"
de vuelta,zurück,"orientation"
