word,translation,category
el perro,der Hund,"animals"
la gata,die Katze,"animals"
el caballo,das Pferd,"animals"
el pájaro,der Vogel,"animals"
el pez,der Fisch,"animals"
el ratón,die Maus,"animals"
el elefante,der Elefant,"animals"
la serpiente,die Schlange,"animals"
el león,der Löwe,"animals"
la tigresa,die Tigerin,"animals"
el oso,der Bär,"animals"
el lobo,der Wolf,"animals"
la jirafa,die Giraffe,"animals"
el rinoceronte,der Nashorn,"animals"
el hipopótamo,der Nilpferd,"animals"
el canguro,der Känguru,"animals"
la tortuga,die Schildkröte,"animals"
el delfín,der Delfin,"animals"
el águila,der Adler,"animals"
la mariposa,der Schmetterling,"animals"
el ciervo,der Hirsch,"animals"
el búho,der Uhu,"animals"
el gallo,der Hahn,"animals"
la vaca,die Kuh,"animals"
el burro,der Esel,"animals"
el pez payaso,der Clownfisch,"animals"
el flamenco,der Flamingo,"animals"
el puma,der Puma,"animals"
el zorro,der Fuchs,"animals"
la foca,der Seehund,"animals"
el pingüino,der Pinguin,"animals"
el cangrejo,der Krebs,"animals"
la langosta,der Hummer,"animals"
el caracol,die Schnecke,"animals"
el mosquito,der Mücken,"animals"
el ratón de campo,der Feldmaus,"animals"
el pajarito,der kleine Vogel,"animals"
el búfalo,der Büffel,"animals"
el jabalí,der Wildschwein,"animals"
